FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL,IMAGEURL
Treston Thomison,"5' 8""",145 lbs.,--,,--,http://ufcstats.com/fighter-details/ed5f04f833459877,
Nick Thompson,"6' 1""",170 lbs.,"74""",Orthodox,"Jun 23, 1981",http://ufcstats.com/fighter-details/7d3caf0f96f1b33d,
James Thompson,"6' 5""",265 lbs.,--,Orthodox,"Dec 16, 1978",http://ufcstats.com/fighter-details/9e30f69cc0869301,
Oli Thompson,"6' 1""",242 lbs.,--,Orthodox,"Jan 02, 1980",http://ufcstats.com/fighter-details/dcdd511ff757f15c,
Stephen Thompson,"6' 0""",170 lbs.,"75""",Orthodox,"Feb 11, 1983",http://ufcstats.com/fighter-details/4a28cb716c19157a,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-01/THOMPSON_STEPHEN_L_12-16.png?itok=NdqhydtR
Josh Thomson,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 21, 1978",http://ufcstats.com/fighter-details/a566371ba2ad7152,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/11f14d57-8ee1-4c97-bd95-6f04e9b54be2%252FJosh-Thomson_270_LeftFullBodyImage.png?itok=aN179HG_
Simeon Thoresen,"6' 1""",170 lbs.,"79""",Orthodox,"Mar 14, 1984",http://ufcstats.com/fighter-details/fea8acf9bfcf09ec,
Josh Thornburg,"6' 0""",170 lbs.,--,,"May 24, 1984",http://ufcstats.com/fighter-details/083e15da67d9b0fa,
Gleison Tibau,"5' 10""",155 lbs.,"71""",Southpaw,"Oct 07, 1983",http://ufcstats.com/fighter-details/75e5fec9f72910ef,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68033/profile-galery/fullbodyleft-picture/Gleison-Tibau_1075_LeftFullBodyImage.png?itok=EVYhkFfL
Chris Tickle,"5' 9""",155 lbs.,--,,"Feb 01, 1982",http://ufcstats.com/fighter-details/1d1b85389a05df69,
Nolan Ticman,"5' 6""",125 lbs.,--,Orthodox,"May 17, 1988",http://ufcstats.com/fighter-details/9eb069062a0cfc13,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/183adf35-d982-4b4b-aee8-a71f8622cbd1%252Fnolan-ticman_497309_LeftFullBodyImage.png?itok=T-1rcads
Darren Till,"6' 0""",185 lbs.,"74""",Southpaw,"Dec 24, 1992",http://ufcstats.com/fighter-details/9ce6d5a03af801b7,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-12/TILL_DARREN_L_12-10.png?itok=pCJkF50A
Brett Tillis,--,145 lbs.,--,,--,http://ufcstats.com/fighter-details/7b461ccae8270207,
Ryan Tobar,--,155 lbs.,--,,--,http://ufcstats.com/fighter-details/57481f1f10530c61,
Andrew Todhunter,"6' 0""",185 lbs.,--,Switch,"Nov 30, 1987",http://ufcstats.com/fighter-details/274ca7b799b402cc,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/Andrew_Todhunter/Andrew-Todhunter_MCR_0053.png?VersionId=TgmbuQBsfl90p9AC6LWQmCKYDT7NvFZO&itok=JNgZyD8D
Dusko Todorovic,"6' 1""",185 lbs.,"74""",Orthodox,"May 19, 1994",http://ufcstats.com/fighter-details/866fd7b1a6c90e7f,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-08/4526cb41-c0d2-423a-ad18-d8efe88477f3%252FTODOROVIC_DUSKO_L_05-21.png?itok=qduY4_Dj
Hideo Tokoro,"5' 7""",135 lbs.,--,Orthodox,"Aug 22, 1977",http://ufcstats.com/fighter-details/2d5fbe2103f97053,
Anatoly Tokov,"5' 10""",185 lbs.,--,,"Feb 17, 1990",http://ufcstats.com/fighter-details/679ae8c4fd022c6b,
Kazuki Tokudome,"5' 11""",155 lbs.,"73""",Southpaw,"Mar 04, 1987",http://ufcstats.com/fighter-details/c4af2feb4b58bc3b,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/Kazuki_Tokudome/KazukiTokudome_UFC162_019.png?VersionId=y70qtjx.GT.nMX38267HSEvsBPwvpwwm&itok=_vjIiiAh
Tyler Toner,"5' 8""",145 lbs.,"70""",Orthodox,"Mar 31, 1983",http://ufcstats.com/fighter-details/8e893f269d5696b2,
James Toney,"5' 9""",220 lbs.,--,Orthodox,"Aug 24, 1968",http://ufcstats.com/fighter-details/d10b35152277cf98,
Masanori Tonooka,"5' 8""",185 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/9de7c97e1c0d7927,
Carl Toomey,--,--,--,,--,http://ufcstats.com/fighter-details/5ee87e0432205755,
Ilia Topuria,"5' 7""",145 lbs.,"69""",Orthodox,"Jan 21, 1997",http://ufcstats.com/fighter-details/54f64b5e283b0ce7,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-02/TOPURIA_ILIA_L_BELT_02-17.png?itok=h1fu9Vu9
Anthony Torres,"5' 8""",170 lbs.,--,Orthodox,"Jul 31, 1978",http://ufcstats.com/fighter-details/918d9d89d4d52acc,
Miguel Torres,"5' 9""",135 lbs.,"76""",Orthodox,"Jan 18, 1981",http://ufcstats.com/fighter-details/33b2f68ef95252e0,
Ronys Torres,"5' 7""",155 lbs.,--,Orthodox,"Aug 13, 1975",http://ufcstats.com/fighter-details/cce79e827569f26e,
Haven Torres,--,125 lbs.,--,,--,http://ufcstats.com/fighter-details/1ff10dee2f7ae60c,
Tecia Torres,"5' 1""",115 lbs.,"60""",Orthodox,"Aug 16, 1989",http://ufcstats.com/fighter-details/31ef8b67e13495b3,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/9e1e8397-4603-48ac-992b-40a6a2264d2d%252FTORRES_TECIA_L_04-09.png?itok=dzuQ5Fys
Alex Torres,"5' 10""",145 lbs.,--,Orthodox,"May 29, 1988",http://ufcstats.com/fighter-details/e4e0f310b3cf23a8,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/alexander-torres_498768_LeftFullBodyImage.png?itok=eXNb2Gpi
Abram Torres,"5' 10""",170 lbs.,--,,"Oct 29, 1982",http://ufcstats.com/fighter-details/e175a261a280f7cb,
Jose Torres,"5' 4""",125 lbs.,"65""",Orthodox,"Aug 02, 1992",http://ufcstats.com/fighter-details/d2036f31c035e0d1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2018-10/TORRES_JOSE_R.png?VersionId=G76mJ2rPQhxs_MYQU8Hcff1m_MCvi4wU&itok=Wkq7TyG5
Desmond Torres,"5' 6""",135 lbs.,"69""",Orthodox,"Jan 06, 1997",http://ufcstats.com/fighter-details/971aebf56267de20,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/aef8f6ef-1483-4251-8663-35ace42d32d5%252FTORRES_DESMOND_L.png?itok=zOfhXtE0
Manuel Torres,"5' 10""",155 lbs.,"73""",,"Mar 25, 1995",http://ufcstats.com/fighter-details/2e7878927067fdca,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-02/TORRES_MANUEL_L_02-24.png?itok=Izy637pD
Salim Touahri,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 28, 1989",http://ufcstats.com/fighter-details/cbf1c7ba5408a66f,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2018-12/TOUHARI_SALIM_L.png?VersionId=vOA3wGeMGe4AbnV19isHqk8.6vNrWYmg&itok=6SKBxOG1
Dequan Townsend,"6' 3""",205 lbs.,"79""",Orthodox,"May 11, 1986",http://ufcstats.com/fighter-details/3f7dab21b6c971bc,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-10/67806%252Fprofile-galery%252Ffullbodyleft-picture%252FTOWNSEND_DEQUAN_L_06-29.png?VersionId=HSRGDMGZ3T4n48VezO3xksmQRe5lcgT.&itok=69Yth9C_
Minoru Toyonaga,"5' 11""",195 lbs.,--,Southpaw,--,http://ufcstats.com/fighter-details/04076783ca83d6ae,
Roberto Traven,"6' 3""",227 lbs.,--,Orthodox,"Sep 16, 1968",http://ufcstats.com/fighter-details/20ec0061400178ca,
Bryan Travers,--,155 lbs.,--,,"Apr 11, 1983",http://ufcstats.com/fighter-details/008cf84faae9c7a5,
Alexander Trevino,--,170 lbs.,--,,--,http://ufcstats.com/fighter-details/73abb7a5c57fb443,
Francisco Trevino,"5' 9""",155 lbs.,"70""",Orthodox,"Dec 17, 1981",http://ufcstats.com/fighter-details/97a6bbe6e6566a94,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/45390c3d-f89b-4429-912e-582376775f74%252FFrancisco-Trevino_464214_LeftFullBodyImage.png?itok=ySOuvyf-
Angelo Trevino,"5' 11""",170 lbs.,--,Switch,"Jun 10, 1993",http://ufcstats.com/fighter-details/0cf9f5518d6063bb,
Frank Trigg,"5' 9""",170 lbs.,"71""",Southpaw,"May 07, 1972",http://ufcstats.com/fighter-details/d2d37e8eeb3abc8d,
Francisco Trinaldo,"5' 9""",170 lbs.,"70""",Southpaw,"Aug 24, 1978",http://ufcstats.com/fighter-details/a8283a4f415e1eb9,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-06/67967%252Fprofile-galery%252Ffullbodyleft-picture%252FTRINALDO_FRANCISCO_L_06-05.png?itok=2XThXrxh
Damien Trites,"5' 11""",165 lbs.,--,,"Aug 23, 1979",http://ufcstats.com/fighter-details/cb1c09c8126dbee0,
Michael Trizano,"5' 11""",145 lbs.,"71""",Orthodox,"Dec 31, 1991",http://ufcstats.com/fighter-details/5bf31a46becc1204,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/e72d00f1-3c4d-487a-b751-4b0556eb1554%252FTRIZANO_MICHAEL_L_02-05.png?itok=eq5EcjxA
Antonio Trocoli,"6' 5""",205 lbs.,"82""",Orthodox,"Dec 06, 1990",http://ufcstats.com/fighter-details/6d48a2df51749d91,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67381/profile-galery/fullbodyright-picture/TROCOLI_ANTONIO_R.png?VersionId=R3ZTfrZLcvJN4rYstbCDKxgzqiNzHRa5&itok=aeCN15b3
Tor Troeng,"6' 2""",185 lbs.,--,Orthodox,"Jan 25, 1983",http://ufcstats.com/fighter-details/8abf70f79e9e27c2,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/cbf96986-3a66-4b4b-a043-e1c9c9324bd8%252FTor-Troeng_302965_LeftFullBodyImage.png?itok=h7u_GjLR
Aaron Trujillo,"5' 5""",125 lbs.,--,,--,http://ufcstats.com/fighter-details/cc18abc046b382c9,
Reynaldo Trujillo,"5' 9""",155 lbs.,--,,"Jan 01, 1982",http://ufcstats.com/fighter-details/e6b233a007cb06c4,
Abel Trujillo,"5' 8""",155 lbs.,"70""",Orthodox,"Sep 18, 1983",http://ufcstats.com/fighter-details/e14b5aa06eea9653,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Abel-Trujillo_287176_LeftFullBodyImage.png?itok=RAMVJ4xz
Arman Tsarukyan,"5' 7""",155 lbs.,"72""",Orthodox,"Oct 11, 1996",http://ufcstats.com/fighter-details/eae48ff31db420c2,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-01/TSARUKYAN_ARMAN_L_12-02.png?itok=0le9exxO
Chris Tuchscherer,"6' 2""",258 lbs.,"76""",Orthodox,"Sep 08, 1975",http://ufcstats.com/fighter-details/df05aa15b2d66f57,
Jon Tuck,"5' 11""",155 lbs.,"73""",Orthodox,"Aug 28, 1984",http://ufcstats.com/fighter-details/53ec9cb470e1a4ea,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68321/profile-galery/fullbodyleft-picture/Jon-Tuck_289022_LeftFullBodyImage.png?itok=dpODiqLC
Gavin Tucker,"5' 6""",145 lbs.,"66""",Southpaw,"Jun 17, 1986",http://ufcstats.com/fighter-details/da816417a579a0bd,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/0c2a6693-7f42-47b1-8d33-1c77dcd4616c%252FTUCKER_GAVIN_L_07-27.png?itok=PF4S240N
Jumabieke Tuerxun,"5' 7""",135 lbs.,--,Orthodox,"Apr 17, 1986",http://ufcstats.com/fighter-details/1ed32eaaba9ffe10,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/7c67c085-6688-490d-9ded-492113e7f853%252FJumabieke-Tuerxun_302919_LeftFullBodyImage.png?itok=d9KK0ZIC
Tom Tuggle,"6' 2""",250 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/b9aa7d230865b5fe,
Blair Tugman,"6' 0""",135 lbs.,--,,--,http://ufcstats.com/fighter-details/63f8775391301891,
Tai Tuivasa,"6' 2""",264 lbs.,"75""",Southpaw,"Mar 16, 1993",http://ufcstats.com/fighter-details/c62fbc117d57b943,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-03/TUIVASA_TAI_L_03-16.png?itok=u6D2ePvs
Zubaira Tukhugov,"5' 8""",145 lbs.,"68""",Orthodox,"Jan 15, 1991",http://ufcstats.com/fighter-details/aceffa19749c4dc0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/TUKHUGOV_ZUBAIRA_L_02-11.png?itok=2os2clzD
Teila Tuli,"6' 0""",430 lbs.,--,Orthodox,"Jun 14, 1969",http://ufcstats.com/fighter-details/96eff1a628adcc7f,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-10/TULI_TEILA_L.png?itok=KLxFzCoa
Albert Tumenov,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 26, 1991",http://ufcstats.com/fighter-details/ff6a1f63c254127e,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Albert-Tumenov_466036_LeftFullBodyImage.png?itok=jIy-rk2j
Maimaiti Tuohati,--,--,--,,--,http://ufcstats.com/fighter-details/31319179c9b1e6e7,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-06/a8ef916f-33e7-4886-8e09-45a45e3a3ca2%252FMAIMAITITUOHETI_L.png?itok=FF-QyQ9_
Ricky Turcios,"5' 9""",135 lbs.,"71""",Orthodox,"Jun 05, 1993",http://ufcstats.com/fighter-details/cd3d7e37ff2d679c,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-02/TURCIOS_RICKY_L_02-24.png?itok=l94Tt9AX
Anton Turkalj,"6' 4""",205 lbs.,--,,"Jun 10, 1996",http://ufcstats.com/fighter-details/82529ce93cd9a2cf,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-09/TURKALJ_ANTON_L_09-10.png?itok=awaehgbk
Wellington Turman,"6' 0""",185 lbs.,"72""",Orthodox,"Jul 22, 1996",http://ufcstats.com/fighter-details/4dcfb28c011c11b2,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-11/TURMAN_WELLINGTON_L_12-02.png?itok=YbMJgmfq
Courtney Turner,"6' 2""",170 lbs.,--,,--,http://ufcstats.com/fighter-details/56f4b81ec4db61af,
Jalin Turner,"6' 3""",155 lbs.,"77""",Southpaw,"May 18, 1995",http://ufcstats.com/fighter-details/4d8fa64202cee4c1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-11/TURNER_JALIN_L_12-02.png?itok=ZINK0xPM
Austin Tweedy,"5' 9""",155 lbs.,--,Orthodox,"Sep 25, 1990",http://ufcstats.com/fighter-details/885adaff8fe15cf7,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/6834473a-078d-48c0-89c9-cffb24fbe43a%252FTWEEDY_AUSTIN_L.png?itok=wlxG-8fn
Marcin Tybura,"6' 3""",249 lbs.,"78""",Orthodox,"Nov 09, 1985",http://ufcstats.com/fighter-details/c9cf753cfdf77fc2,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-04/TYBURA_MARCIN_L_03-16.png?itok=c4tv26f6
Alberto Uda,"6' 3""",185 lbs.,--,Orthodox,"Aug 08, 1984",http://ufcstats.com/fighter-details/8f2deefe8c5dfb5d,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67192/profile-galery/fullbodyleft-picture/alberto-uda_586048_LeftFullBodyImage.png?VersionId=FEbaJLU6kf6SAitgfHLc5yuCPV7FEjf.&itok=k0EpTbB2
Ryuki Ueyama,"5' 11""",180 lbs.,--,Southpaw,"Apr 17, 1976",http://ufcstats.com/fighter-details/bcd124bcd3d5be46,
Christian Uflacker,"5' 11""",170 lbs.,--,,"Aug 04, 1985",http://ufcstats.com/fighter-details/10ccf4ec9913cadc,
Andy Uhrich,"6' 0""",170 lbs.,--,,--,http://ufcstats.com/fighter-details/4a1a492f299581d9,
Tagir Ulanbekov,"5' 7""",125 lbs.,"70""",Southpaw,"Aug 07, 1991",http://ufcstats.com/fighter-details/f00ac08ab056af5d,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-12/ULANBEKOV_TAGIR_L_12-16.png?itok=KM0Nzaco
Carlos Ulberg,"6' 4""",205 lbs.,"77""",Orthodox,"Nov 07, 1990",http://ufcstats.com/fighter-details/9014c02eff8b3d62,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-05/ULBERG_CARLOS_L_05-13.png?itok=ypDdDm84
Gasan Umalatov,"5' 11""",170 lbs.,"71""",Orthodox,"Sep 11, 1982",http://ufcstats.com/fighter-details/7a39bbac8cc0fa70,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/54edb557-9020-4b78-8548-0fb42e77dff8%252FGasan-Umalatov_466032_LeftFullBodyImage.png?itok=9FD5CdzX
Jeremy Umphries,--,160 lbs.,--,,--,http://ufcstats.com/fighter-details/4793a2d90f5ab8ae,
Zach Underwood,"6' 2""",185 lbs.,--,,--,http://ufcstats.com/fighter-details/1e310618d02ff93b,
Caol Uno,"5' 7""",155 lbs.,"70""",Southpaw,"May 08, 1975",http://ufcstats.com/fighter-details/eb1723480fa2f96c,
Kengo Ura,"5' 9""",165 lbs.,--,,"Jun 20, 1981",http://ufcstats.com/fighter-details/58258914525740a5,
Logan Urban,"6' 0""",170 lbs.,"72""",Orthodox,"Apr 22, 1994",http://ufcstats.com/fighter-details/5e23f30e9c6ed74e,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-09/84739%252Fprofile-galery%252Ffullbodyleft-picture%252FURBAN_LOGAN_L.png?itok=BhJcjlKG
Hector Urbina,"5' 11""",170 lbs.,"73""",Orthodox,"Sep 17, 1987",http://ufcstats.com/fighter-details/4b8fb0453a596b8e,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/214cc330-9f40-4814-94a7-35dbeb6449bb%252Fhector-urbina_480089_LeftFullBodyImage.png?itok=PI_DeEse
Elias Urbina,"6' 3""",185 lbs.,"77""",Southpaw,"Oct 09, 1993",http://ufcstats.com/fighter-details/47fcdcaccb58ca80,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-02/elias-urbina_587591_LeftFullBodyImage.png?itok=d7Tm7Pgh
Gilbert Urbina,"6' 3""",185 lbs.,"75""",Orthodox,"Apr 05, 1996",http://ufcstats.com/fighter-details/b12fb759e02378de,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-02/URBINA_GILBERT_L_02-03.png?itok=rrk9XbQ2
Nick Urso,"5' 6""",125 lbs.,"66""",Southpaw,"Sep 26, 1985",http://ufcstats.com/fighter-details/e78c4c3d329c531b,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/9c5da125-e922-4e68-80c1-8b012ade582f%252FNick-Urso_636378_LeftFullBodyImage.png?itok=ag9dDIWr
Yasuhiro Urushitani,"5' 5""",125 lbs.,--,Southpaw,"Sep 08, 1976",http://ufcstats.com/fighter-details/c34e5849184b08c3,
Kamaru Usman,"6' 0""",170 lbs.,"76""",Switch,"May 11, 1987",http://ufcstats.com/fighter-details/f1b2aa7853d1ed6e,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-10/USMAN_KAMARU_L_10-21.png?itok=DR9KNML9
Darren Uyenoyama,"5' 6""",125 lbs.,"65""",Orthodox,"Oct 15, 1979",http://ufcstats.com/fighter-details/6546af7ab545b90c,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/7a074e76-7d6c-4c4d-8fd2-9677b968bd0c%252FDarren-Uyenoyama_226332_LeftFullBodyImage.png?itok=Xn5LaTcg
Richie Vaculik,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 19, 1983",http://ufcstats.com/fighter-details/54578e5927adea53,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/c77ca95b-d824-4039-92b8-0783b3410353%252Frichie-vaculik_290159_LeftFullBodyImage.png?itok=sOJbYG8q
Egidijus Valavicius,"6' 0""",200 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/fc1868f56d3036eb,
Genaro Valdez,"5' 9""",155 lbs.,"72""",Orthodox,"Jan 16, 1992",http://ufcstats.com/fighter-details/cda1099995b46cc2,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-01/91879bcb-d2a3-4e1a-af3b-cc87e3b0a0ae%252FVALDEZ_GENARO_L_01-22.png?itok=Sflh2tfJ
Charlie Valencia,"5' 3""",135 lbs.,"64""",Orthodox,"Oct 31, 1974",http://ufcstats.com/fighter-details/8a0be41c0380188d,
Victor Valenzuela,"5' 10""",155 lbs.,--,,--,http://ufcstats.com/fighter-details/de277a4abcfeea46,
Timur Valiev,"5' 6""",135 lbs.,"67""",Orthodox,"Jan 19, 1990",http://ufcstats.com/fighter-details/45e738622ea2c02c,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-07/VALIEV_TIMUR_L_06-26.png?itok=_8ZFMb7C
Victor Valimaki,"6' 0""",205 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/663b76da637402c3,
Andrew Valladerez,--,135 lbs.,--,,--,http://ufcstats.com/fighter-details/2a898bf9fb7710b3,
Isaac Vallie-Flagg,"5' 8""",155 lbs.,"70""",Orthodox,"Apr 08, 1978",http://ufcstats.com/fighter-details/c295de4e10acd4c9,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/68a024dc-4423-440d-b349-947976446fd7%252FIsaac-Vallie-Flagg_242823_LeftFullBodyImage.png?itok=Nv__sNde
Mike van Arsdale,"6' 2""",205 lbs.,--,Switch,"Jun 20, 1965",http://ufcstats.com/fighter-details/2ee09ec2a0695eb9,
Matt Van Buren,"6' 5""",205 lbs.,--,,"Jun 12, 1986",http://ufcstats.com/fighter-details/7b39035fae7268b8,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/50cb4203-8a8a-4579-a74b-5309257ead2a%252Fmatt-van-buren_480076_LeftFullBodyImage.png?itok=PioZ5TSE
Brianna Van Buren,"5' 0""",115 lbs.,"62""",Southpaw,"Aug 04, 1993",http://ufcstats.com/fighter-details/b53c46f613f6f248,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2019-07/VAN_BUREN_BRIANNA_R.png?VersionId=pB3EjGF7cQB5tWxgyhwK5gP7vJQAlLME&itok=ynHGYlzF
Ron van Clief,"5' 10""",190 lbs.,--,Orthodox,"Jan 25, 1943",http://ufcstats.com/fighter-details/23ab42947c1990e3,
Lloyd Van Dams,"6' 1""",240 lbs.,--,Southpaw,"Mar 05, 1972",http://ufcstats.com/fighter-details/02177caefe7c07d4,
Cameron VanCamp,"6' 2""",155 lbs.,--,Switch,"Apr 27, 1993",http://ufcstats.com/fighter-details/87e2468b986ebb79,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-11/84794%252Fprofile-galery%252Ffullbodyleft-picture%252FVANCAMP_CAMERON_L_09-18.png?itok=5GGnvYcK
Chad Vance,"6' 0""",185 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/26d61e92a6069cd2,
Jared Vanderaa,"6' 4""",265 lbs.,"80""",Orthodox,"May 12, 1992",http://ufcstats.com/fighter-details/2b68d9f125d07b42,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-05/c7e5b3c5-f3a4-406a-b925-9b8f57aebfbd%252FVANDERAA_JARED_L_04-09.png?itok=vTd0v6B2
Austin Vanderford,"5' 11""",170 lbs.,--,Orthodox,"Mar 21, 1990",http://ufcstats.com/fighter-details/32c3ee378671a5d9,
Lando Vannata,"5' 9""",155 lbs.,"71""",Orthodox,"Mar 14, 1992",http://ufcstats.com/fighter-details/f9b200db02b488d9,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-04/VANNATA_LANDO_L_04-15.png?itok=_eu24FNU
Paige VanZant,"5' 4""",115 lbs.,"65""",Orthodox,"Mar 26, 1994",http://ufcstats.com/fighter-details/4d5197f331c47290,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2019-01/VANZANT_PAIGE_L.png?VersionId=rDvHkKI517fjEl4bZXcbza533TPWxUDr&itok=OYyDwaRh
Paul Varelans,"6' 8""",300 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/07a18ae55dfc3cd9,
Kazula Vargas,"5' 8""",155 lbs.,"71""",Southpaw,"Aug 15, 1985",http://ufcstats.com/fighter-details/ec18eb918121787c,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-04/71570%252Fprofile-galery%252Ffullbodyleft-picture%252FVARGAS_KAZULA_L_04-24.png?itok=k2CP-0dz
Jamie Varner,"5' 8""",155 lbs.,"71""",Orthodox,"Oct 12, 1984",http://ufcstats.com/fighter-details/a54fc2d6fc224dc3,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/Jamie_Varner/Jamie_Varner_UFC164-2013-08-28-0052.png?VersionId=CfP0P1EPb1_CGyuPwxg2l_imUsy2DNx0&itok=y4OsdbfV
Guilherme Vasconcelos,"6' 0""",185 lbs.,--,Orthodox,"Mar 23, 1986",http://ufcstats.com/fighter-details/d6d5da3c209884bc,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/8b71062e-505a-41fa-8b22-e3b2eb8ea0c8%252Fguilherme-vasconcelos_477632_LeftFullBodyImage.png?itok=Ac9ywYLY
Linton Vassell,"6' 4""",205 lbs.,--,,"Jun 03, 1983",http://ufcstats.com/fighter-details/a148dfe3485be79d,
Billy Vaughan,"5' 6""",155 lbs.,--,,"Dec 02, 1983",http://ufcstats.com/fighter-details/61428ed51f5ff465,
